country,year,elect_vio,ActorNameNew,ActorTypeNew,civ_deaths,l_gdppc,l_pop,indep_jud,opposition_ban,reports_fraud,elect_monitors,govt_intimidation,elect_boycott,cso_idx,elect_idx,corrupt_jud,peaceful_assemb,polity,phys_int,civ_violence,lag_ev,lag_civ_deaths,lag_civ_violence
Azerbaijan,2005,0,Civilians,2,NA,7.364168469086396,15.942771554732653,4,1,1,1,-2.305,-0.801,0.262,0.12,-2.874,-1.021,-7,2,NA,NA,NA,NA
Egypt,2010,0,Civilians,2,NA,7.827947204963407,18.284315774824844,NA,1,1,0,-1.861,-1.94,0.245,0.061,-0.691,-1.788,-3,3,50,0,NA,39
Egypt,2010,0,Civilians,2,NA,7.827947204963407,18.284315774824844,NA,1,1,0,-1.861,-1.94,0.245,0.061,-0.691,-1.788,-3,3,50,0,NA,50
Hungary,2002,0,Civilians,2,NA,8.803173768443303,16.133831982854158,NA,0,NA,1,1.382,1.201,0.83,0.92,1.456,3.069,10,7,NA,NA,NA,NA
Hungary,2002,0,Civilians,2,NA,8.803173768443303,16.133831982854158,NA,0,NA,1,1.382,1.201,0.83,0.92,1.456,3.069,10,7,NA,0,NA,NA
Jamaica,1997,1,Civilians,2,NA,8.097956800243148,14.753544777543976,NA,0,NA,1,0.498,1.104,0.733,0.563,1.391,1.671,9,6,NA,NA,NA,NA
Bulgaria,1997,0,Civilians,2,NA,7.216263268230399,15.933218992670952,NA,0,NA,1,1.892,1.148,0.78,0.789,0.449,1.511,8,5,NA,NA,NA,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,1,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,NA,NA,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,0,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,NA,NA,NA
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Serbia,2000,0,Civilians,2,NA,NA,NA,NA,NA,NA,NA,-0.311,0.217,0.579,0.371,-0.799,1.077,7,NA,NA,NA,NA,NA
Bulgaria,1997,0,Civilians,2,NA,7.216263268230399,15.933218992670952,NA,0,NA,1,1.892,1.148,0.78,0.789,0.449,1.511,8,5,NA,0,NA,NA
Jordan,2003,1,Civilians,2,NA,7.54403462423495,15.501190178802663,NA,0,0,1,-0.454,0.332,0.463,0.184,0.55,0.823,-2,5,NA,NA,NA,NA
Yemen,2006,0,Civilians,2,NA,6.7659416104218355,16.905019927659236,NA,0,0,1,-0.855,-0.467,0.336,0.188,-1.782,0.163,-2,3,NA,NA,NA,NA
Egypt,2010,0,Civilians,2,NA,7.827947204963407,18.284315774824844,NA,1,1,0,-1.861,-1.94,0.245,0.061,-0.691,-1.788,-3,3,50,1,88,8
Egypt,2010,0,Civilians,2,NA,7.827947204963407,18.284315774824844,NA,1,1,0,-1.861,-1.94,0.245,0.061,-0.691,-1.788,-3,3,50,0,NA,50
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,0,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Serbia,2003,0,Civilians,2,NA,NA,NA,NA,NA,NA,NA,1.052,0.896,0.705,0.676,-0.799,2.58,NA,NA,NA,0,NA,NA
Madagascar,1996,0,Civilians,2,NA,5.841992376641341,16.476989910393584,NA,0,0,1,-0.506,-0.063,0.797,0.459,-1.365,0.935,9,7,NA,NA,NA,NA
Madagascar,1996,0,Civilians,2,NA,5.841992376641341,16.476989910393584,NA,0,1,1,-0.506,-0.063,0.797,0.459,-1.365,0.935,9,7,NA,0,NA,NA
Jamaica,2007,1,Civilians,2,NA,8.463464760899969,14.809214450975128,9,0,1,1,0.736,1.291,0.804,0.798,1.391,1.974,9,5,NA,1,NA,NA
Nigeria,2003,1,Civilians,2,95,6.667977148704823,18.70676004014423,NA,0,1,1,-0.879,-0.755,0.842,0.218,-1.603,0.513,4,2,84,1,95,84
Nigeria,2003,1,Civilians,2,95,6.667977148704823,18.70676004014423,NA,0,1,1,-0.879,-0.755,0.842,0.218,-1.603,0.513,4,2,84,1,95,84
Kenya,1997,0,Civilians,2,10,6.136440843972594,17.16064060093569,NA,0,1,1,-0.603,-0.23,0.723,0.169,-1.614,0.339,4,4,49,1,123,153
Kenya,1997,0,Civilians,2,10,6.136440843972594,17.16064060093569,NA,0,1,1,-0.603,-0.23,0.723,0.169,-1.614,0.339,4,4,49,0,10,49
Guyana,2001,1,Civilians,2,NA,6.843001435818585,13.540822364887935,NA,0,1,1,0.421,1.183,0.698,0.675,-0.162,1.34,6,6,NA,NA,NA,NA
Jamaica,1993,1,Civilians,2,NA,7.701766270194871,14.715290534381898,NA,0,0,0,0.432,1.101,0.733,0.538,1.391,1.671,9,4,NA,1,NA,NA
Kenya,2007,1,Civilians,2,123,6.733629999012196,17.454064486093824,5,0,0,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,0,10,49
Kenya,2007,1,Civilians,2,123,6.733629999012196,17.454064486093824,5,1,1,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,1,123,153
Serbia,2000,1,Civilians,2,NA,NA,NA,NA,NA,NA,NA,-0.311,0.217,0.579,0.371,-0.799,1.077,7,NA,NA,0,NA,NA
Serbia,2000,1,Civilians,2,NA,NA,NA,NA,NA,NA,NA,-0.311,0.217,0.579,0.371,-0.799,1.077,7,NA,NA,1,NA,NA
South Korea,2004,0,Civilians,2,NA,NA,NA,NA,0,0,1,1.875,1.233,0.925,0.944,1.615,1.278,8,NA,NA,0,NA,NA
Kenya,1992,0,Civilians,2,3,5.807993083677995,17.020519601890996,NA,1,1,1,-1.219,0.743,0.629,0.118,-1.614,0.346,-5,2,NA,1,123,153
Kenya,1992,0,Civilians,2,3,5.807993083677995,17.020519601890996,NA,0,1,1,-1.219,0.743,0.629,0.118,-1.614,0.346,-5,2,NA,0,3,NA
Kenya,1997,0,Civilians,2,10,6.136440843972594,17.16064060093569,NA,0,1,1,-0.603,-0.23,0.723,0.169,-1.614,0.339,4,4,49,0,3,NA
Kenya,1997,0,Civilians,2,10,6.136440843972594,17.16064060093569,NA,0,1,1,-0.603,-0.23,0.723,0.169,-1.614,0.339,4,4,49,0,10,49
Indonesia,1997,1,Civilians,2,29,6.9606772367389365,19.1367042887217,NA,0,1,1,-1.661,-0.72,0.102,0.177,-2.701,0.041,-7,0,NA,NA,NA,NA
Iran,2000,1,Civilians,2,1,NA,NA,NA,1,1,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,NA,NA,NA
Iran,2000,1,Civilians,2,1,NA,NA,NA,1,0,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,1,1,NA
Kenya,2007,0,Civilians,2,123,6.733629999012196,17.454064486093824,5,0,0,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,0,10,49
Kenya,2007,0,Civilians,2,123,6.733629999012196,17.454064486093824,5,1,1,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,0,123,153
Georgia,2004,0,Civilians,2,NA,7.173994706506344,15.183472909898887,NA,0,NA,1,-0.333,-0.586,0.755,0.569,0.549,1.259,6,4,NA,0,NA,NA
Georgia,2004,0,Civilians,2,NA,7.173994706506344,15.183472909898887,NA,0,NA,1,-0.333,-0.586,0.755,0.569,0.549,1.259,6,4,NA,0,NA,NA
Bolivia,2008,1,Civilians,2,NA,NA,NA,NA,0,NA,1,NA,NA,0.959,0.829,-1.341,1.437,8,5,NA,NA,NA,NA
Azerbaijan,1992,1,Civilians,2,774,4.1019524417701705,15.81456193578133,NA,0,NA,0,-1.411,-1.708,0.218,0.418,-0.575,-0.374,1,4,NA,0,NA,NA
