country,Electiondate,ev_count,EventViolence,ActorNameNew,Actor1Name,Actor1Type,TargetNameNew,Target1Name,Target1Type
Ghana,2000-12-07T00:00:00Z,1,1,Party Supporters,party supporters,2,Party Supporters,(Unspecified) party supporters,2
Egypt,2012-05-23T00:00:00Z,0,0,Election Commission,Election commission,1,Political Candidate,10 presidential candidates,3
Azerbaijan,2005-11-06T00:00:00Z,0,0,Civilians,14 residents,2,Government,Ilham Aliev's government,1
Egypt,2010-11-28T00:00:00Z,0,0,Civilians,5 April youth movement,2,Government,Government,1
Afghanistan,2005-09-18T00:00:00Z,1,1,Military,Rogue Afghan soldiers,1,Government Officials,Afghan defense minister,1
Myanmar,2010-11-07T00:00:00Z,1,1,Party Members,Union Solidarity and Development Paty member,3,Students,88 Generation Student Youths party members,3
Jamaica,2007-09-03T00:00:00Z,1,1,Party Supporters,Alleged JLP Supporters,NA,Police,Police Patrol,1
Afghanistan,2009-08-20T00:00:00Z,1,1,Islamic Insurgents,Islamic Militants,4,Party Workers,Abdullah campaign manager,3
Afghanistan,2005-09-18T00:00:00Z,21,1,Iraqi Insurgents,Insurgents,4,Civilians,Civilians,2
Hungary,2002-04-07T00:00:00Z,0,0,Civilians,64 Counties Youth Movement,2,Government,Socialist Prime Ministerial Candidate Peter Medgyessy,1
Afghanistan,2005-09-18T00:00:00Z,2,0,Police,police,1,Islamic Insurgents,Islamic Militants,4
Afghanistan,2010-09-18T00:00:00Z,1,1,Military,Afghan military,1,Islamic Insurgents,Islamic Militants,4
Afghanistan,2009-08-20T00:00:00Z,21,1,Iraqi Insurgents,Insurgents,4,Civilians,Civilians,2
Armenia,2008-02-19T00:00:00Z,1,1,Opposition Activists,opposition (Sarkisian) activists,3,Opposition Supporters,opposition (Ter-Petrosyan) Supporters,2
Afghanistan,2005-09-18T00:00:00Z,1,1,Police,Police,1,Islamic Insurgents,Islamic Militants,4
Jamaica,1997-12-18T00:00:00Z,1,1,Civilians,A group of youth,2,Property,Ballot Boxes,5
Georgia,2004-03-28T00:00:00Z,0,0,Party Supporters,Goverment supporters,2,Political Party,Abashidze,3
Republic of Congo,1993-10-03T00:00:00Z,2,1,Opposition Supporters,Armed opposition supporters,4,Military,Congolese army,1
Afghanistan,2010-09-18T00:00:00Z,21,1,Iraqi Insurgents,Insurgents,4,Civilians,Civilians,2
Albania,1996-05-26T00:00:00Z,0,0,Government ,Government,1,Event,Albanian Elections,2
Afghanistan,2005-09-18T00:00:00Z,8,1,Military,military,1,Islamic Insurgents,Islamic Militants,4
Iraq,2005-01-30T00:00:00Z,1,1,Civilians,a motorcycle bomber,NA,United States,US troops,5
Bulgaria,1997-04-19T00:00:00Z,0,0,Civilians,academics,2,Government,government,1
Afghanistan,2005-09-18T00:00:00Z,8,0,Military,military,1,Islamic Insurgents,Islamic Militants,4
Bangladesh,1996-02-15T00:00:00Z,0,0,Civilians,academics,2,Opposition Leaders,Opposition leader Wajed,3
Nigeria,2011-04-09T00:00:00Z,1,1,Civilians,ACN supporters,2,Civilians,PDP,2
Afghanistan,2005-09-18T00:00:00Z,3,1,Iraqi Insurgents,Insurgents,4,Political Candidate,Election candidate,3
Nigeria,2011-04-09T00:00:00Z,1,1,Party Supporters,PDP loyalists,2,Event,ACN governship campaign train,3
Azerbaijan,1993-10-03T00:00:00Z,0,0,Party Supporters,Elchibey supporters,2,Government Leader,acting president Geydar Aliyev,3
Azerbaijan,1993-10-03T00:00:00Z,0,0,Party Supporters,Elchibey supporters,2,Government Leader,acting president Geydar Aliyev,1
Afghanistan,2009-08-20T00:00:00Z,8,1,Military,military,1,Islamic Insurgents,Islamic Militants,4
Afghanistan,2005-09-18T00:00:00Z,0,0,Police,police,1,Islamic Insurgents,islamic militants,4
Afghanistan,2004-09-10T00:00:00Z,5,1,Iraqi Insurgents,Insurgents,4,Election Workers,Election Employees,1
Haiti,2000-05-21T00:00:00Z,0,0,Opposition Party,all opposition parties,3,Event,elections,1
Afghanistan,2010-09-18T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,Election Workers,Election employees,1
Bangladesh,2001-10-01T00:00:00Z,4,1,Political Activists,activists AL,3,Political Activists,activist BNP,3
Bangladesh,2008-12-29T00:00:00Z,4,1,Political Activists,activists AL,3,Political Activists,activist BNP,3
Afghanistan,2004-09-10T00:00:00Z,2,1,Iraqi Insurgents,Insurgents,4,Election Workers,Election workers,1
Bangladesh,1996-06-12T00:00:00Z,2,1,Party Supporters,Supporters BNP,2,Political Activists,Activist from Awami League,3
Afghanistan,2010-09-18T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,Militant Group,Former guerilla commander,2
Afghanistan,2009-08-20T00:00:00Z,0,0,Police,police,1,Islamic Insurgents,islamic militants,4
Nepal,2008-04-10T00:00:00Z,1,1,Party Members,Maoists party members,3,Political Activists,activist of the Communist Party of Nepal (UML),3
Afghanistan,2009-08-20T00:00:00Z,2,1,Police,police,1,Islamic Insurgents,Islamic Militants,4
