country,year,elect_vio,gdp_pc,wdi_pop,quota_ord,quota_bi,quota_place,quota_thresh,civil_lib,wom_married15,lag_ev
Somalia,2021,0,446.981559635259,17065581,4,1,0,30,0.202,NA,NA
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,NA
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
Somalia,2021,1,446.981559635259,17065581,4,1,0,30,0.202,NA,0
Zimbabwe,2021,1,1773.92041088078,15993524,4,1,0,22,0.654,NA,NA
Zimbabwe,2021,1,1773.92041088078,15993524,4,1,0,22,0.654,NA,1
Zimbabwe,2021,1,1773.92041088078,15993524,4,1,0,22,0.654,NA,1
Zimbabwe,2021,1,1773.92041088078,15993524,4,1,0,22,0.654,NA,1
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,NA
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
South Sudan,2021,1,NA,10748272,0,0,NA,NA,0.21,NA,NA
Uganda,2021,1,883.892032311279,45853778,4,1,0,27,0.424,NA,NA
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
Uganda,2021,0,883.892032311279,45853778,4,1,0,27,0.424,NA,1
Nigeria,2021,0,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
Libya,2021,1,6357.19555043805,6735277,3,1,1,50,0.23,NA,0
Zimbabwe,2021,1,1773.92041088078,15993524,4,1,0,22,0.654,NA,1
Zambia,2021,0,1137.34363269164,19473125,0,0,NA,NA,0.65,NA,NA
Somalia,2021,1,446.981559635259,17065581,4,1,0,30,0.202,NA,1
Angola,2021,1,1953.53375721508,34503774,1,1,0,30,0.518,NA,NA
Angola,2021,0,1953.53375721508,34503774,1,1,0,30,0.518,NA,1
Libya,2021,1,6357.19555043805,6735277,3,1,1,50,0.23,NA,1
South Africa,2021,0,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,NA
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,0
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
Libya,2021,1,6357.19555043805,6735277,3,1,1,50,0.23,NA,1
Libya,2021,1,6357.19555043805,6735277,3,1,1,50,0.23,NA,1
Libya,2021,0,6357.19555043805,6735277,3,1,1,50,0.23,NA,1
Uganda,2021,0,883.892032311279,45853778,4,1,0,27,0.424,NA,0
Algeria,2021,1,3690.62787797599,44177969,3,1,0,32,0.641,NA,NA
Algeria,2021,1,3690.62787797599,44177969,3,1,0,32,0.641,NA,1
Algeria,2021,1,3690.62787797599,44177969,3,1,0,32,0.641,NA,1
Namibia,2021,0,4865.55776470864,2530151,0,0,NA,NA,0.762,NA,NA
South Africa,2021,0,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,0
South Africa,2021,1,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,0
Tunisia,2021,0,3807.13915027254,12262946,3,1,1,50,0.861,NA,NA
South Sudan,2021,1,NA,10748272,0,0,NA,NA,0.21,NA,1
South Africa,2021,1,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,1
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
South Africa,2021,1,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,1
Senegal,2021,1,1636.89320864296,16876720,3,1,1,43,0.798,NA,NA
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
Nigeria,2021,0,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
Nigeria,2021,0,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,0
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,0
Nigeria,2021,1,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
Nigeria,2021,0,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,1
Nigeria,2021,0,2065.74906750923,213401323,0,0,NA,NA,0.748,NA,0
South Africa,2021,0,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,1
South Africa,2021,1,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,0
South Africa,2021,0,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,1
Somalia,2021,1,446.981559635259,17065581,4,1,0,30,0.202,NA,1
South Africa,2021,1,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,0
South Africa,2021,0,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,1
South Africa,2021,0,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,0
South Africa,2021,0,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,0
South Africa,2021,0,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,0
Algeria,2021,0,3690.62787797599,44177969,3,1,0,32,0.641,NA,1
South Africa,2021,1,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,0
South Africa,2021,1,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,1
South Africa,2021,1,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,1
South Africa,2021,0,7055.04477598783,59392255,0,0,NA,NA,0.799,NA,1
